method,ARI,AMI,FMI,unlabeled_pctg,supervised,train_dataset,test_dataset,batch_effects_removed,assigned
scmap_cluster...1,0,0,0.37665767586512755,1,TRUE,GSE96583_8_Ctrl_Pats,PBMC_AllCells_withLabels,FALSE,NA
scmap_cell...2,0,0,0.37665767586512755,1,TRUE,GSE96583_8_Ctrl_Pats,PBMC_AllCells_withLabels,FALSE,NA
chetah...3,0,0,0.37665767586512755,1,TRUE,GSE96583_8_Ctrl_Pats,PBMC_AllCells_withLabels,FALSE,NA
singlecellnet...4,0,0,0.37665767586512755,1,TRUE,GSE96583_8_Ctrl_Pats,PBMC_AllCells_withLabels,FALSE,NA
garnett...5,0,0,0.37665767586512755,1,TRUE,GSE96583_8_Ctrl_Pats,PBMC_AllCells_withLabels,FALSE,NA
cellassign...6,0,0,0.37665767586512755,1,TRUE,GSE96583_8_Ctrl_Pats,PBMC_AllCells_withLabels,FALSE,NA
scmap_cluster...7,NA,NA,NA,NA,TRUE,GSE96583_8_Ctrl_Pats,PBMC_AllCells_withLabels,FALSE,TRUE
scmap_cell...8,NA,NA,NA,NA,TRUE,GSE96583_8_Ctrl_Pats,PBMC_AllCells_withLabels,FALSE,TRUE
chetah...9,NA,NA,NA,NA,TRUE,GSE96583_8_Ctrl_Pats,PBMC_AllCells_withLabels,FALSE,TRUE
singlecellnet...10,NA,NA,NA,NA,TRUE,GSE96583_8_Ctrl_Pats,PBMC_AllCells_withLabels,FALSE,TRUE
garnett...11,NA,NA,NA,NA,TRUE,GSE96583_8_Ctrl_Pats,PBMC_AllCells_withLabels,FALSE,TRUE
cellassign...12,NA,NA,NA,NA,TRUE,GSE96583_8_Ctrl_Pats,PBMC_AllCells_withLabels,FALSE,TRUE
scmap_cluster...13,0,0,0.37665767586512755,NA,TRUE,GSE96583_8_Ctrl_Pats,PBMC_AllCells_withLabels,FALSE,FALSE
scmap_cell...14,0,0,0.37665767586512755,NA,TRUE,GSE96583_8_Ctrl_Pats,PBMC_AllCells_withLabels,FALSE,FALSE
chetah...15,0,0,0.37665767586512755,NA,TRUE,GSE96583_8_Ctrl_Pats,PBMC_AllCells_withLabels,FALSE,FALSE
singlecellnet...16,0,0,0.37665767586512755,NA,TRUE,GSE96583_8_Ctrl_Pats,PBMC_AllCells_withLabels,FALSE,FALSE
garnett...17,0,0,0.37665767586512755,NA,TRUE,GSE96583_8_Ctrl_Pats,PBMC_AllCells_withLabels,FALSE,FALSE
cellassign...18,0,0,0.37665767586512755,NA,TRUE,GSE96583_8_Ctrl_Pats,PBMC_AllCells_withLabels,FALSE,FALSE
scmap_cluster...19,0,5.412869961176508e-16,0.5000639233193654,1,TRUE,PBMC_AllCells_withLabels,GSE96583_8_Ctrl_Pats,FALSE,NA
scmap_cell...20,0,5.412869961176508e-16,0.5000639233193654,1,TRUE,PBMC_AllCells_withLabels,GSE96583_8_Ctrl_Pats,FALSE,NA
chetah...21,0,5.412869961176508e-16,0.5000639233193654,1,TRUE,PBMC_AllCells_withLabels,GSE96583_8_Ctrl_Pats,FALSE,NA
singlecellnet...22,0,5.412869961176508e-16,0.5000639233193654,1,TRUE,PBMC_AllCells_withLabels,GSE96583_8_Ctrl_Pats,FALSE,NA
